Name	Set	ImageFile	Cost_Influence	Type	SubType	Diplomacy	Intrigue	Psi	Leadership	Military	Marks	Rarity	Fixeds	Collector	Text
Collaboration	CrusadeRedux	08b-37		Conflict	Diplomacy						  	Dream Card		08b-37	Crusade. Legacy. Target another player. If successful, the target gains +1 power, you gain +1 influence, and all other players lose 1 power.
Collar Gun	CrusadeRedux	08b-38		Aftermath	Participant						  	Dream Card		08b-38	Corporate. Explorer. Target a non-ambassador character who was neutralized by one of your Corporate, Crusade, or Explorer characters during the conflict. The target of this aftermath cannot attack any card controlled by the player who played this aftermath, or participate in conflicts initiated by that player without that player’s permission.
Corporations Go On	CrusadeRedux	08b-40		Agenda							  	Dream Card		08b-40	Corporate. If you control more locations than any other player, no conflicts may target your faction or your race, although cards you control may still be targeted by conflicts.  Rotate to add support or opposition to target conflict equal to the number of locations you control.
Crystal Ball	CrusadeRedux	08b-42	2	Character							  	Dream Card		08b-42	Legacy. Limited. Target a Techno-mage. As an action, rotate this enhancement to place the bottom card of your discard pile on the bottom of your deck.
Corporations Go On (2)	CrusadeRedux	08b-41		Enhancement	Faction						  	Dream Card		08b-41	Corporate. Target your faction. Discard this card if Defense in Depth is your agenda. If you control more locations than any other player, no conflicts may target your faction or your race, although cards you control may still be targeted by conflicts. Rotate to add support or opposition to target conflict equal to the number of locations you control.
Death Incarnate	CrusadeRedux	08b-44		Character							  	Dream Card		08b-44	If you have less than 10 influence when you sponsor this card, gain +1 influence when you sponsor it. Target any version of Ivanova, Vir, Na’Toth, or Lennier. Only the target’s controller may target him/her with events. As an action, rotate this enhancement and apply influence equal to the printed cost of the target to search your deck for a character that could replace the target and take it into your hand; no player may target you with Doomed Expedition as his next action.
Dire Consequences	CrusadeRedux	08b-47		Aftermath	Lost						  	Dream Card		08b-47	Legacy.  Reveal at the resolution of a lost conflict which was initiated by another player and targeted you. You must have provided more opposition to the conflict than any other player. You gain +1 Influence and the conflict’s initiator loses 1 influence.
Dr. Sarah Chambers	CrusadeRedux	08b-49	5	Character	Human	3	1				  	Dream Card		08b-49	Crusade. Any ISA Member may sponsor Dr. Sarah Chambers at normal cost. As an action, rotate Dr. Sarah Chambers and target a conflict. When your participants in that conflict are attacked, they take 1 less damage. Or rotate Dr. Sarah Chambers as an action to remove all damage or 1 severe damage from a character, or to unneutralize a neutralized character who has no severe damage tokens.
Dr. Sarah Chambers	CrusadeRedux	08b-48	8	Character	Human	2	3				  	Dream Card		08b-48	Nightwatch.  Crusade.  If you have won a Crusade conflict this game, fleets and Nightwatch characters you control gain a strife mark while attacking non-Human fleets or characters.
Kevin Sprach	CrusadeRedux	08b-86	4	Character	Neutral	4					  	Dream Card		08b-86	This character cannot be in your starting hand. You must rotate all of your Inner Circle characters to sponsor Kevin Sprach, but do not have to apply influence to sponsor him. Kevin Sprach cannot enter play by any other means.  All characters in your Inner Circle gain +1 Diplomacy.
Duel to the Death	CrusadeRedux	08b-50		Event							  	Dream Card		08b-50	Target a War Conflict you initiated. At resolution, only count support and opposition from participants if they are controlled by you or by the target of the conflict. If the conflict is successful and there is no opposition at resolution from participant fleets, treat the conflict as if it was uncontested. If the conflict is successful by 10 or more, you may apply 3 influence to return this card to your hand.
EVA Salvaging	CrusadeRedux	08b-55		Aftermath	Won Military						  	Dream Card		08b-55	For each character controlled by another player that was neutralized during your conflict, you may take a character from your discard pile and place it in your hand. For each fleet controlled by another player that was neutralized during your conflict, you may take a fleet from your discard pile and place it in your hand. (Discard this aftermath after play.)
Everything Has A Price	CrusadeRedux	08b-56		Event							  	Dream Card		08b-56	Corporate. Rotate an Inner Circle Corporate character you control and target a supporting Neutral Character or Neutral Fleet. Apply influence equal to the printed cost of the target. The target is discarded.  You may not target Legacy cards, Lorien, Techno-mages, Rangers, or characters with 2 or more Shadow or Vorlon marks with this event.
Far-Reaching Schemes	CrusadeRedux	08b-62		Conflict	Intrigue						  	Dream Card		08b-62	Legacy. You must control three or more Techno-mage characters to initiate this conflict. Only Techno-mages may support this conflict. If successful, this card becomes a Faction Enhancement targeting you with the following text: As an action, discard this enhancement and target a player. That player must discard half the cards in his hand (Round up).
First Contact Protocls	CrusadeRedux	08b-66		Conflict	Diplomacy						  	Dream Card		08b-66	Explorer. Each player may only initiate this conflict once per game. Target another player. If successful, the target must transfer one influence to you, and all conflicts initiated by the target player next turn gain +10 automatic support.
Fireball	CrusadeRedux	08b-65		Event							  	Dream Card		08b-65	Legacy. Target a character controlled by another player. Apply any amount of influence when you play this event, up to the number of Techno-mage characters and/or fleets in your faction. Inflict one point of damage to the target for each point of influence you applied.
Forced Down	CrusadeRedux	08b-67		Conflict	Military						  	Dream Card		08b-67	Any player may be supported in this conflict. Whichever player has the single most support gains +1 influence and must, if possible, neutralize one supporting Character (Of his choice) controlled by the player with the least support (Or one controlled by each player with the least support if there is a tie).
Final Destiny	CrusadeRedux	08b-63		Conflict							  	Dream Card		08b-63	Enigma. Any ability may be used in this conflict, but each participant provides a maximum of 5 support or opposition at resolution. If successful, you may give your ambassador a Destiny Mark and a Vorlon Mark; or give one of your participant characters a Vorlon Mark and return this conflict to your hand.
Goods and Services	CrusadeRedux	08b-74		Event							  	Dream Card		08b-74	Restore any amount of influence, up to an amount equal to Babylon 5’s current influence. You may only use this restored influence to pay for the cost of promoting characters into your Inner Circle, or for repairing fleet damage.
High-Tech Weapons	CrusadeRedux	08b-75		Conflict	Leadership						  	Dream Card		08b-75	Target a fleet you control. If successful, search your deck for the first Fleet Enhancement you find and take it into your hand, and this card becomes a Fleet Enhancement on the target which gives the target +3 Military.
Homunculus	CrusadeRedux	08b-78		Event							  	Dream Card		08b-78	Legacy.  Rotate a techno-mage character you control.  Add support or opposition to target conflict equal to that character’s highest ability.
How to Succeed in Business	CrusadeRedux	08b-79		Event							  	Dream Card		08b-79	Corporate. Discard a number of cards from your hand equal to the printed cost of a Corporate character in your hand to sponsor that character for free directly to your Inner Circle.
Hyperspace Getaway	CrusadeRedux	08b-80		Contingency							  	Dream Card		08b-80	Crusade. Reveal when any fleet you control is attacked. The attack is canceled, although the attacking fleet remains rotated. You may ready the attacked fleet, in which case it is no longer participating in any conflicts. You may remove up to 3 points of damage from one fleet you control.
Illegal Raid	CrusadeRedux	08b-81		Conflict	Intrigue						  	Dream Card		08b-81	Crusade. You may support this conflict with one fleet, using Military; if you do not do so, this conflict fails. If successful, search your deck for Natchok Var or a character loyal to a race other than your own and take it into your hand, and gain +1 influence unless the ISA exists and you are not a member.
Junk Food	CrusadeRedux	08b-85	1	Event							  	Dream Card		08b-85	Target a character. The effects of this event depend on the character’s race or species: Human: Gain +3 to highest ability (Abilities, if tied) until end of turn. Pak’ma’ra: Take 2 points of damage. Non-Aligned except Pak’ma’ra, and all other races: Take 1 point of damage.
Lemm Uh'Ekim 	CrusadeRedux	08b-88	8	Character	Non-Aligned	1	3	4			  	Dream Card		08b-88	Sh’lassan Ambassador. Unique. Cannot be blanked. This character may only ready or be readied during the ready round. As an action, rotate Lemm Uh’Ekim to gain +1 power, but you lose 2 power at the end of the turn.
Lieutenant Tewart	CrusadeRedux	08b-91	5	Character	Neutral				2		  	Dream Card		08b-91	Explorer. Lieutenant Tewart becomes loyal to your race immediately after you sponsor him. While leading a fleet, that fleet may participate in Diplomacy Conflicts using Military.
Lise Hampton Edgars Garibaldi	CrusadeRedux	08b-92	9	Character	Human	6	4				  	Dream Card		08b-92	Corporate. Must replace Lise Hampton Edgars, transferring all attached cards and marks. All Mercenary cards in your faction lose their boldface “Mercenary” text. Other players may not target you with cards that require Conspiracy Marks.
M. Garibaldi, CEO	CrusadeRedux	08b-95	12	Character	Neutral	5	7		4		Destiny Strife 	Dream Card		08b-95	Corporate. May replace any other version of Garibaldi, transferring any attached cards and marks you choose. Rotate to search your deck for Lise Hampton, or any Human Character which can replace another character, and take that card into your hand. Immediately promote (For free) M. Garibaldi, CEO if you have versions of any 3 of these characters in your Inner Circle: Ivanova, Franklin, Lise Hampton, Zack Allan, Marcus Cole. Discard this character if you control a Psi Cop or William Morgan Clark.
Mathew Gideon	CrusadeRedux	08b-99	9	Character	Human	3	3		3		Destiny  	Dream Card		08b-99	Crusade. Explorer. Legacy. If you control a Human Fleet and no Psi Corps Fleets, you may sponsor Matthew Gideon at -9 cost. If Matthew Gideon is targeted by the Apocalypse Box, you may promote him at -9 cost. If a fleet led by Matthew Gideon would be neutralized if he readies, he cannot ready.
Max Eilerson	CrusadeRedux	08b-101	6	Character	Neutral	2	4				  	Dream Card		08b-101	Corporate. Crusade. Explorer. Max Eilerson may sponsor enhancements as if he were a member of every race. Max Eilerson may have enhancements target him as if he were a member of every race.
Nanotech Plague	CrusadeRedux	08b-104		Conflict	Military						  	Dream Card		08b-104	Irrevocable. Requires 5 Shadow Marks. Apply 11 influence and target another player. Aftermaths cannot be played at resolution of this conflict. If successful: gain +2 influence, the target must neutralize one of his characters and one of his fleets (If possible), this conflict returns to your hand, and you may target the same player with it next turn, for free, with no requirements, as an additional conflict. If you win this conflict 5 times against the same player, he is eliminated from the game. If unsuccessful, remove this card from the game.
Natchok Var	CrusadeRedux	08b-105	6	Character	Neutral	2	3				  	Dream Card		08b-105	Crusade. Explorer. Your Unrest must be 1 to sponsor this character. You cannot play any card that could increase your Unrest.  As an action, rotate to search your deck for the first event you find that can increase a character’s ability (Or abilities) and place it in your hand.
Navigator Robertson	CrusadeRedux	08b-106	5	Character	Neutral				2		  	Dream Card		08b-106	Crusade. Navigator Robertson becomes loyal to your race immediately after you sponsor her. While leading a fleet, that fleet may participate in Leadership Conflicts using Military.
New Team	CrusadeRedux	08b-107		Aftermath							  	Dream Card		08b-107	Crusade. Explorer. Legacy. Promote (for free) your Crusade character who supported your Crusade conflict, your Explorer character who supported your Explorer conflict, or your Legacy character who supported your Legacy conflict. (Discard this aftermath after play.)
Not Dead Yet	CrusadeRedux	08b-109	5	Event							  	Dream Card		08b-109	Ready one of your characters who rotated to sponsor or promote a card this turn. Or purge a Destiny, Conspiracy, Shadow, or Vorlon mark to discard one aftermath of your choice targeting a character you control.  After playing this event you may purge three Marks, except Doom or Strife Marks, to return it to your hand.
Nova Dreadnaughts	CrusadeRedux	08b-110	6	Fleet	Human					3	Strife Strife 	Dream Card		08b-110	Multiple. If you are at war, as an action you may rotate a General you control and discard a card from your hand to return one of your neutralized Nova Dreadnoughts to your hand.
Nowhere To Hide	CrusadeRedux	08b-111	5	Enhancement	Faction						Destiny  	Dream Card		08b-111	Limited. Your ambassador gains +2 to all his abilities and a Destiny Mark. Whenever a player’s tension toward another race increases or attempts to increase because of a card he plays or controls, he must discard a card from his hand if possible.
Null Field	CrusadeRedux	08b-112	4	Event	Drakh						  	Dream Card		08b-112	Target up to 4 fleets you control; those fleets cannot attack or be attacked this turn. Or target a fleet with no leader that is opposing a conflict you initiated. It applies no opposition at resolution.
Onslaught	CrusadeRedux	08b-113		Agenda							  	Dream Card		08b-113	Whenever you win a Military Conflict that targeted another player, rotate to search your deck for a fleet loyal to your race and put it in your hand. If you have at least 50 printed Military in ready fleets, you may rotate this agenda to initiate a Military Conflict. Other players’ fleets which may only participate in conflicts targeting their controller may participate in this conflict. If you win this conflict by 20 or more, you win a Standard Victory this turn. If you lose this conflict, remove this agenda from the game.
Opportunity Knocks	CrusadeRedux	08b-114		Aftermath	Lost						  	Dream Card		08b-114	Corporate. Rotate a Corporate character you control to play this aftermath. The conflict’s initiator must transfer 1 influence to the faction that provided the single most opposition. (Discard this aftermath after play.)
Out of My Sky	CrusadeRedux	08b-115		Conflict	Military						  	Dream Card		08b-115	Apply 10 influence during the conflict round (only) and target another player who has less than 10 influence. Diplomacy may be used in this conflict. Only you and the target may attack in this conflict. If successful, gain +1 influence, and if you have at least 60 support, the target is eliminated from the game.
Pieces of the Puzzle	CrusadeRedux	08b-116		Aftermath	Won						  	Dream Card		08b-116	Explorer. Target one of your participants in the conflict. As an action, you may discard 3 copies of this card from play to gain +1 influence.
Probes	CrusadeRedux	08b-119		Conflict	Leadership						  	Dream Card		08b-119	Explorer. If successful, this conflict becomes a Faction Enhancement targeting you with a Probe Token on it for each point by which the conflict succeeded. As an action, rotate this enhancement and remove any number of Probe Tokens to provide +1 support or opposition to a target conflict for each Probe Token removed. Discard this enhancement if it has no Probe Tokens.
Protected	CrusadeRedux	08b-120		Character							  	Dream Card		08b-120	Legacy. Target a Techno-mage character or fleet. Reveal when the target is attacked to cancel the attack; the attacker remains rotated. Or reveal when the target, and only the target, is targeted by an event or aftermath to cancel that event or aftermath.
Quarantine	CrusadeRedux	08b-123	5	Enhancement							  	Dream Card		08b-123	Crusade. Only 3 copies of this card may be in play at any time. Target a supporting character or fleet with a printed cost. The target cannot attack or participate in conflicts while targeted by this card. As an action, the target’s controller may apply 13 influence minus the target’s printed cost (if any) to move this card to any other legal target.
Record Returns	CrusadeRedux	08b-124		Conflict	Diplomacy						  	Dream Card		08b-124	Limited. Corporate. You must rotate a Corporate Character to initiate this conflict. Cannot be initiated if any player is targeted by Record Returns. Only Corporate Characters may support this conflict. If successful, this card becomes a Faction Enhancement targeting you with the following text: Each turn you may apply additional influence equal to half your influence rating (round up) as of the beginning of the turn.
Refuge	CrusadeRedux	08b-126		Aftermath	Won						  	Dream Card		08b-126	Explorer. Target your faction immediately after you win an Explorer conflict. As an action, rotate this aftermath and target an Explorer character you control. That character cannot be attacked this turn.
Reign of Terror	CrusadeRedux	08b-127		Conflict	Military						  	Dream Card		08b-127	ISA. If successful, draw 2 cards and this card becomes an Aftermath targeting your faction with the following text: You cannot be the target of Expelled; discard it if you are already targeted by it. Any player may initiate a Military Conflict targeting this Aftermath which, if successful, discards it.
Robert Connor	CrusadeRedux	08b-131	4	Character	Neutral		1		2		  	Dream Card		08b-131	Crusade. As an action, rotate Robert Conner to remove 2 points of damage from a fleet or location you control.
Shady Dealings	CrusadeRedux	08b-134		Conflict							  	Dream Card		08b-134	Corporate. Reveal when the conflict directly causes another player to lose influence or to discard, neutralize, damage, or demote a card he controls. Promote for free one of your characters who participated in the conflict.
Sogayu	CrusadeRedux	08b-135	6	Character	Neutral	2	2				  	Dream Card		08b-135	Corporate. If another Corporate character you control becomes neutralized, you may immediately promote Sogayu for free.
Something Always Happens	CrusadeRedux	08b-137		Character							  	Dream Card		08b-137	Legacy. Target a Techno-mage. Reveal at resolution of a conflict and rotate the target to have him support or oppose that conflict. (The target must be able to participate in the conflict. This contingency may only be revealed once for each conflict.)
Special Agent Kendarr	CrusadeRedux	08b-138	9	Character	Neutral		5				Conspiracy  	Dream Card		08b-138	Explorer. As an action, rotate to search your deck for a card which states (in its effect text) that it requires Conspiracy Marks to play, and take it into your hand.
Techno-Mage Tuition	CrusadeRedux	08b-143		Aftermath	Won Participant						  	Dream Card		08b-143	Unique.  Legacy.  Rotate a Techno-mage to play this card.  Play on a Character who participated in a Legacy Conflict. They gain the bold-face text Techno-mage.
The Circle is Joined	CrusadeRedux	08b-146	10	Event							  	Dream Card		08b-146	Legacy. All agendas currently in play permanently become Unique (no additional copies may be played for the rest of this game). If more than one copy of the same agenda is currently in play, they may remain in play even though both are Unique, but both still retain the “Unique” designation. The cost to play this event is reduced by 2 for each Techno-Mage you control.
The Fen	CrusadeRedux	08b-147		Conflict							  	Dream Card		08b-147	Explorer. Play on an Explorer, Legacy or Enigma conflict. Reveal when a fleet rotates to participate in the conflict: until the end of turn it loses any benefits from its leader (if present) and it’s printed military is reduced by 5. If it’s military is reduced to 0, it is no longer a participant (but it remains rotated).
The Fen (original)	CrusadeRedux	08b-148		Event							  	Dream Card		08b-148	Limited. Explorer. Target a ready fleet: Its printed Military is reduced by 5 (to a minimum of zero), and any increase in Military due to leaders is ignored. These effects expire at the end of this turn.
The Tech	CrusadeRedux	08b-149	2	Enhancement	Faction						  	Dream Card		08b-149	Irrevocable. Legacy. Must be sponsored by a Techno-mage. Discard this card if you control no Techno-mages. Your Techno-mage characters and fleets have +1 damage resistance. As an action, rotate this card to take from your discard pile a contingency that must target a Techno-mage or an event that requires you to control a Techno-mage to play it. Place that card on the bottom of your deck or Crusade pile.
Tip-Top Shape	CrusadeRedux	08b-153		Aftermath	Participant						  	Dream Card		08b-153	Target gains +1 to the ability he used in the conflict and +1 damage resistance. Your cost to promote the target is reduced by 2.
Trial by Fire	CrusadeRedux	08b-156		Conflict	Leadership						  	Dream Card		08b-156	Target a non-Drakh, non-Major Agenda controlled by another player. That player’s ambassador may participate in this conflict using any ability. If successful, you may take one agenda in your discard pile and place it in your hand. If successful by 10 or more, shuffle the target into its controller’s deck.
Undercover Investigation	CrusadeRedux	08b-159		Conflict	Intrigue						  	Dream Card		08b-159	Explorer. Target a race other than your own. Only members of the target race may oppose this conflict. During this conflict, ignore effects which would reduce the damage your participant characters and fleets take during attacks. If successful, look at the hand of every player of that race. If you win by 15 or more, gain +1 influence.
Warlock Destroyers	CrusadeRedux	08b-161	8	Fleet	Human					10	  	Dream Card		08b-161	You must be an ISA member or have 3 Vorlon Marks to sponsor this fleet.
Working Together	CrusadeRedux	08b-164		Event							  	Dream Card		08b-164	ISA. You may not play this event if any of your tension levels toward another race is higher than its starting level. For each race being played with whom your tension toward them is lower than its starting level, you may return to your supporting row a fleet in your discard pile which you could sponsor.
You Are Expendable	CrusadeRedux	08b-167		Event							  	Dream Card		08b-167	Irrevocable. Cannot be played by a Drakh player. Search through your deck for a Drakh Ambassador who could be sponsored by a Drakh player and replace your ambassador with that Drakh Ambassador. This action overrides the normal restrictions against Drakh cards entering play. You may use any of the Drakh Ambassador’s effect text as if you had just sponsored him. You are now a Drakh faction, as if you had just sponsored a Drakh Ambassador.
Zog!	CrusadeRedux	08b-168		Character							  	Dream Card		08b-168	Enigma.  You must have at least two Destiny Marks and no Shadow or Vorlon Marks to play or reveal this card. Reveal to cancel an event which requires a Shadow or Vorlon Mark. Or reveal at the resolution of a conflict targeting you to apply opposition to that conflict equal to the number of Destiny Marks in your faction. You may apply 5 influence when you reveal this card to return it to your hand.
Yellow Journalism	CrusadeRedux	08b-166	1	Enhancement	Faction						  	Dream Card		08b-166	Media. As an action, rotate this enhancement and target a Media character to allow that character to participate in one conflict this turn using Diplomacy, no matter which ability would normally be appropriate. As an action, rotate a Media character you control to restore 1 point of spent influence.
